Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
abnormal,1,NEG,N
abolish,1,NEG,N
abominable,1,NEG,N
abominably,1,NEG,N
abominate,1,NEG,N
abomination,1,NEG,N
abort,1,NEG,N
aborted,1,NEG,N
aborts,1,NEG,N
abound,1,POS,N
abounds,1,POS,N
abrade,1,NEG,N
abrasive,1,NEG,N
abrupt,1,NEG,N
abruptly,1,NEG,N
abscond,1,NEG,N
absence,1,NEG,N
absentee,1,NEG,N
absurd,1,NEG,N
absurdity,1,NEG,N
absurdly,1,NEG,N
absurdness,1,NEG,N
abundance,1,POS,N
abundant,1,POS,N
abuse,1,NEG,N
abused,1,NEG,N
abuses,1,NEG,N
abusive,1,NEG,N
abysmal,1,NEG,N
abysmally,1,NEG,N
abyss,1,NEG,N
accessable,1,POS,N
accessible,1,POS,N
accidental,1,NEG,N
acclaim,1,POS,N
acclaimed,1,POS,N
acclamation,1,POS,N
accolade,1,POS,N
accolades,1,POS,N
accommodative,1,POS,N
accomodative,1,POS,N
accomplish,1,POS,N
accomplished,1,POS,N
accomplishment,1,POS,N
accomplishments,1,POS,N
accost,1,NEG,N
accurate,1,POS,N
accurately,1,POS,N
accursed,1,NEG,N
accusation,1,NEG,N
accusations,1,NEG,N
accuse,1,NEG,N
accuses,1,NEG,N
accusing,1,NEG,N
accusingly,1,NEG,N
acerbate,1,NEG,N
acerbic,1,NEG,N
acerbically,1,NEG,N
ache,1,NEG,N
ached,1,NEG,N
aches,1,NEG,N
achey,1,NEG,N
achievable,1,POS,N
achievement,1,POS,N
achievements,1,POS,N
achievible,1,POS,N
aching,1,NEG,N
acrid,1,NEG,N
acridly,1,NEG,N
acridness,1,NEG,N
acrimonious,1,NEG,N
acrimoniously,1,NEG,N
acrimony,1,NEG,N
acumen,1,POS,N
adamant,1,NEG,N
adamantly,1,NEG,N
adaptable,1,POS,N
adaptive,1,POS,N
addict,1,NEG,N
addicted,1,NEG,N
addicting,1,NEG,N
addicts,1,NEG,N
adequate,1,POS,N
adjustable,1,POS,N
admirable,1,POS,N
admirably,1,POS,N
admiration,1,POS,N
admire,1,POS,N
admirer,1,POS,N
admiring,1,POS,N
admiringly,1,POS,N
admonish,1,NEG,N
admonisher,1,NEG,N
admonishingly,1,NEG,N
admonishment,1,NEG,N
admonition,1,NEG,N
adorable,1,POS,N
adore,1,POS,N
adored,1,POS,N
adorer,1,POS,N
adoring,1,POS,N
adoringly,1,POS,N
adroit,1,POS,N
adroitly,1,POS,N
adulate,1,POS,N
adulation,1,POS,N
adulatory,1,POS,N
adulterate,1,NEG,N
adulterated,1,NEG,N
adulteration,1,NEG,N
adulterier,1,NEG,N
advanced,1,POS,N
advantage,1,POS,N
advantageous,1,POS,N
advantageously,1,POS,N
advantages,1,POS,N
adventuresome,1,POS,N
adventurous,1,POS,N
adversarial,1,NEG,N
adversary,1,NEG,N
adverse,1,NEG,N
adversity,1,NEG,N
advocate,1,POS,N
advocated,1,POS,N
advocates,1,POS,N
affability,1,POS,N
affable,1,POS,N
affably,1,POS,N
affectation,1,POS,N
affection,1,POS,N
affectionate,1,POS,N
affinity,1,POS,N
affirm,1,POS,N
affirmation,1,POS,N
affirmative,1,POS,N
afflict,1,NEG,N
affliction,1,NEG,N
afflictive,1,NEG,N
affluence,1,POS,N
affluent,1,POS,N
afford,1,POS,N
affordable,1,POS,N
affordably,1,POS,N
affront,1,NEG,N
afordable,1,POS,N
afraid,1,NEG,N
aggravate,1,NEG,N
aggravating,1,NEG,N
aggravation,1,NEG,N
